year,n,mean,std,min,q1,median,q3,max
2015,158,5.375734177215189,1.1450101349520665,2.839,4.526,5.2325,6.24375,7.587
2016,157,5.382184713375795,1.1416735176005715,2.905,4.404,5.314,6.269,7.526
2017,155,5.354019355773926,1.1312300899149939,2.69300007820129,4.50550007820129,5.27899980545044,6.101500034332275,7.53700017929077
2018,156,5.375916666666667,1.119505852731943,2.905,4.45375,5.378,6.1685,7.632
2019,156,5.407096153846155,1.1131198687956712,2.853,4.5445,5.3795,6.1845,7.769
