country,happiness_score
Burundi,2.905
Syria,3.069
Togo,3.303
Afghanistan,3.36
Benin,3.484
Rwanda,3.515
Guinea,3.607
Liberia,3.622
Tanzania,3.666
Madagascar,3.695
