country,happiness_score
Burundi,2.905
Central African Republic,3.083
South Sudan,3.254
Tanzania,3.303
Yemen,3.355
Rwanda,3.408
Syria,3.462
Liberia,3.495
Haiti,3.582
Malawi,3.587
